module_genes	z_perm	node_score	edge_score	module_score	eval_edgeSc	eval_moduleSc	edgeSc_diff
CUTA HSPA1L METTL21B SLC51A UBB	8.21817087840173	11.3056318142297	3.69970181318789	15.0053336274176	2.81894412809416	14.1245759423239	0.880757685093739
ABHD16A CD82 CREB3 HLA-DMA HLA-DRA	8.26865855413087	12.0538176590024	2.56388391105867	14.6177015700611	2.79800579199125	14.8518234509937	0.234121880932581
AGAP2 JAK2 KPNB1 MAVS NUP35 STAT5A	8.17020106650994	11.0390982494834	3.75802839462229	14.7971266441057	2.60715276645955	13.646251015943	1.15087562816274
CTU2 HSPA1L METTL21B PFDN4	7.64514982143612	10.9196386182435	3.36699978584601	14.2866384040895	3.72926576781621	14.6489043860597	0.362265981970199
BAG6 CASP8 MAPK1 MAPK3 TMEM219	7.71713072049602	11.950067746506	2.34066052474733	14.2907282712533	5.11442874461087	17.0644964911169	2.77376821986354
HSPA1L LTBP3 METTL21B PIK3R2	7.6611225611036	11.8042340790153	2.46252813515585	14.2667622141712	2.1869462625021	13.9911803415174	0.275581872653754
BAG6 CDK4 NCOR2 SKIV2L	8.25913032163995	12.6158926632481	1.74795132632981	14.3638439895779	0.9576239072061	13.5735165704542	0.790327419123712
BAG6 CDK4 DDAH2 KAT2A NME1	8.00153402970743	11.9224395848889	2.51590185517385	14.4383414400627	3.90541231754617	15.827851902435	1.38951046237233
DDAH2 GNB1 HSPA1A VCAM1	7.88395244339245	11.2285432289472	2.4644189571802	13.6929621861274	2.44502348577391	13.6735667147211	0.0193954714062921
AGAP2 JAK2 KPNB1 RANGAP1 STAT5A	8.44828400361341	11.500263548769	3.38480490327294	14.8850684520419	4.02458845840811	15.5248520071771	0.639783555135166
ABHD16A IFITM3 STAT3	8.05792369262018	12.2105252652667	1.80260494375527	14.013130209022	1.37022349278125	13.5807487580479	0.432381450974021
HSPA1A KPNB1 LARP7 RABEP2 VARS	8.24253204116218	11.4402374467048	4.14132406495167	15.5815615116564	2.41017978613089	13.8504172328357	1.73114427882078
HLA-DRA LAT TEC VAV1	7.77265469706766	9.27611109743324	4.14110728598722	13.4172183834205	4.44821389757988	13.7243249950131	0.307106611592656
HSPA1L METTL21B PFDN4 SPATA2	7.88929448416621	11.1493276222362	2.99853628599059	14.1478639082268	2.78585193751428	13.9351795597504	0.212684348476311
CD3E CSK GHDC HSPA1L LRRC8C METTL21B PIK3R2 POPDC2	7.89251416948155	12.3308800750895	3.04635420171764	15.3772342768071	1.35701009158423	13.6878901666737	1.68934411013341
BAG6 GADD45G MAPK3 PTPRK SKIV2L	8.2696832951587	12.1394879394707	1.70257711820702	13.8420650576777	3.39001224228588	15.5295001817565	1.68743512407886
HSPA1A KPNB1 LARP7 POP5 VARS	8.22872680745628	11.6835956220078	3.61623526010071	15.2998308821085	1.84635696250659	13.5299525845144	1.76987829759413
HSPA1A KPNB1 LARP7 PSMD13 VARS	8.74321596864348	11.5491854174824	3.84763432155625	15.3968197390386	3.15560610955609	14.7047915270385	0.692028212000161
AVIL BAG6 SKIV2L TUBB3	7.62619534962798	11.4638574054977	2.1737463810815	13.6376037865792	2.38628564090209	13.8501430463998	0.212539259820592
