module_genes	seed	module_score	node_score	edge_score	n_edges	z_perm
ARHGAP19 ATXN3 BECN1 NTAN1 VMP1	ARHGAP19	10.31148434148545	7.252537162609483	3.0589471788759672	4	5.298353724059252
CCL11 CCL27 CXCL9 TNFSF14	CCL27	8.43390886675458	4.534168578670325	3.899740288084255	3	3.906537989381067
EFTUD2 GRB2 HSDL2 IL31 JAK1	HSDL2	12.555645044044791	7.664549550133286	4.891095493911505	4	6.888630425908298
BAMBI RNF10 SMAD6 UBE2O	BAMBI	7.6612942621500775	4.445202338472299	3.2160919236777787	3	3.4373616400535227
GAPDH KAT5 RRM2	GAPDH	7.4865843379449135	5.702593747080778	1.7839905908641354	2	3.638221669938809
EIF2AK3 OSBPL11 TMEM216	OSBPL11	5.713310137620476	3.7002496037545582	2.0130605338659184	2	2.4141888939138076
A2M METRN	METRN	2.8416370919183103	2.8143556389373936	0.0272814529809168	1	0.7652194619378044
PTCH2 SMO	PTCH2	3.9365188144389416	3.4608816180299096	0.475637196409032	1	1.5385382490115975
CHAF1A FOLH1 PIH1D1 RPS3	FOLH1	10.158278686069547	6.138871020107395	4.019407665962151	3	5.3214529300325975
BCS1L HSPA1A LITAF MAPK1 VCAM1	LITAF	13.626692638464355	10.380874462311548	3.2458181761528078	4	7.807817563608971
ARL6IP4 GRB2 PIK3R2	ARL6IP4	11.566711955900063	9.654862075454137	1.9118498804459265	2	6.331575868326311
AQP2 CDIPT CLDN7	AQP2	6.670427287062605	3.9737748675703486	2.6966524194922563	2	3.0955808616240987
INO80D INO80E NHLH1	INO80D	7.474412758308311	5.786010038357161	1.6884027199511507	2	3.7376507310850204
KRT31 LMF2 SLC15A3	LMF2	9.453223974872179	6.1286876486167525	3.324536326255427	2	5.003049377998014
RFXANK SHMT2 TTLL11 YARS	TTLL11	8.005194919865184	5.414480344401775	2.59071457546341	3	3.875572708621484
ERG ETS1 FIGN LANCL1 PARP1	FIGN	8.571498503436619	6.549376071346832	2.022122432089787	4	4.00002032165478
CXCR4 DPP4 FAP JAK2 STAT3	DPP4	12.154405007483067	8.829073611507166	3.325331395975903	5	6.313317811055332
C3 MARS RELA	C3	8.903676500134285	6.368126097203671	2.535550402930614	2	4.611716891485586
BAG6 GALT KIF21B SERPINH1 TMED9	GALT	10.061033609342308	8.883656022087651	1.177377587254657	4	4.84043611802024
FKBP2 GRB2 NR2C2AP PIK3R2	FKBP2	11.341194147167673	8.861889031736881	2.4793051154307943	3	6.333804800464104
AGAP2 BAG6 DNPEP IQCJ-SCHIP1 NF2 PDCL	IQCJ-SCHIP1	13.7041412311705	9.850978125021188	3.853163106149313	5	7.421868343014187
ACOX3 HERC3 MARS RELA	ACOX3	7.6809168134246715	5.139582354773104	2.541334458651568	3	3.7774118877648215
KLHL12 UBXN7	UBXN7	4.3679057103996	3.1335438316194	1.2343618787802	1	1.8160016998903759
AGAP2 DNAJC15 EFTUD2 GRB2 JAK1 PLCG1	DNAJC15	14.713302369491263	9.840241242965215	4.873061126526049	6	8.129227995736588
HSP90AA1 HSPA1A MINK1 VCAM1	MINK1	10.939081976894926	7.71190825120482	3.2271737256901063	4	6.040656259513686
LTBR TRIM5 ZWINT	TRIM5	7.140078989976734	4.736728158559901	2.4033508314168333	2	3.253580716919395
MUS81 RAD51AP1 RAD51C SLX1A TOP3A	MUS81	9.381728826456856	6.634126998698417	2.747601827758438	6	4.331621715235929
HIST1H3E PFKFB3 PFKFB4 PHF1	PFKFB4	14.119503329545394	10.936018675363956	3.1834846541814397	3	7.868696382544092
BZW1 CD2 ITK PSTPIP1 RXRB	BZW1	11.01383077022832	6.539126245385317	4.474704524843005	4	5.351713916651876
HSPA1A MAPT	MAPT	9.125311010618034	7.4903341752295844	1.63497683538845	1	5.400693223699259
ADO FCRL4 FYCO1	FCRL4	9.24855515767465	6.252670883009704	2.9958842746649466	2	4.692647839657554
OLIG1 PSMC3 PTPN6 TNFRSF1A	OLIG1	9.090022768562797	5.954936814620391	3.135085953942407	3	4.580996166337031
CHEK2 MAPK1 MYB TSC2	TSC2	12.679854672777257	8.59571382177358	4.084140851003677	3	6.7745519068417845
SAE1 TP53RK	TP53RK	7.323239133346745	5.657676133346746	1.665563	1	3.586201885359399
AGAP2 CD244 JAK1 KIR3DL2 PLCG1 UFSP2	UFSP2	12.380466802146334	9.235488180907145	3.1449786212391895	5	6.252508735771955
BCL10 HIST1H1D RNF181 VPS11 VPS18	VPS18	11.393797248918672	7.891432909203288	3.5023643397153843	4	5.795297936110962
CNTROB NBEAL1 SPATA2	NBEAL1	6.346322969699505	4.219984592875579	2.126338376823927	2	2.9322372413200046
AXIN1 CARM1 CAV1 PTGIS	PTGIS	7.4223016247528	5.0226196236216945	2.399682001131105	3	3.481121115182855
CHD1L FCRL1 HIST1H2BG	FCRL1	8.501144756774433	5.899900686636015	2.601244070138417	2	4.550229082607206
GFI1 RCOR1 SMARCA4	GFI1	10.667774339164657	7.409334671266469	3.258439667898187	2	5.653435388030934
DNM2 LIPT1 MPP6 MYC STAT3	LIPT1	11.603976027213607	8.26700468592355	3.336971341290056	4	6.112155303629568
C3 HSPA1L IL11RA OLFM4 RELA	IL11RA	12.012176134458771	9.010861688365454	3.001314446093317	4	6.151150328140131
CIITA DPF1 SMARCE1 XPO1	DPF1	9.469863323622453	6.811587743563945	2.658275580058509	3	4.790870393185178
BAG6 DYNLL1 GOLGB1 TRIM14	DYNLL1	11.559344194109391	9.852099043028955	1.7072451510804336	3	6.323154389964589
ARHGAP1 CIITA XPO1	ARHGAP1	10.118447391287738	6.938979936582161	3.179467454705576	2	5.21663450609464
ICAM5 NAF1	NAF1	4.334881105627449	4.249845304997615	0.0850358006298339	1	1.8425553518078563
C12orf65 MYLK2	C12orf65	6.3405700107697704	4.09582467754828	2.24474533322149	1	3.0568967486059115
ITGA6 MYO18A PLEC	PLEC	6.684347291832154	4.422488152654219	2.261859139177935	2	3.1716654858080755
CDCA2 EWSR1 SMTN	CDCA2	6.616168475735512	3.888996030453118	2.7271724452823944	2	3.0974203584943214
BAG2 CCT6A METTL21B	BAG2	11.235593635616995	8.068705079348199	3.1668885562687943	2	6.413964819776866
AGPAT4 C11orf68 REL	AGPAT4	9.033044917769585	6.978091902284545	2.0549530154850384	2	4.570640557666769
ANTXR1 BBC3 BCL2L1 PLK3	PLK3	9.486261935195415	5.559967055690606	3.926294879504808	3	4.800133375086799
DDX31 FAM69A HIST1H1E LPO PLTP	LPO	11.251665845906164	8.063108207476471	3.1885576384296934	4	5.739299749814422
DNM2 MYC SNRPD2 STAT3	SNRPD2	11.905972531359852	8.56208298574511	3.343889545614742	3	6.509341303750029
CGRRF1 HSPA1L KIAA0922 METTL21B RAB3A SNCA	KIAA0922	13.397522254403526	11.366207646492409	2.0313146079111175	5	7.157523127361762
GRB2 JAK1 PIK3R2 SS18	SS18	12.174360126051354	9.278885943858366	2.8954741821929884	3	6.56467144069094
CLIC5 SART1 SRPK1 ZGPAT	CLIC5	8.314167541361853	7.197193095223479	1.116974446138374	3	4.020864035296964
IL7R U2AF1	U2AF1	7.412601173271323	5.113348146494613	2.29925302677671	1	3.674640221443871
ATP1A2 HIST1H2AE HIST1H3B HIST1H3F VDAC1	VDAC1	12.271733678193382	8.583968528896165	3.687765149297218	5	6.624067639919569
GRB2 MAPRE1 PIK3R2 TAOK2	TAOK2	12.008997120430944	8.307863192711686	3.7011339277192574	3	6.4266883908367145
DGUOK RAB3A STX1B VAMP1	STX1B	10.049386711400954	7.131060578982385	2.918326132418569	3	5.2383870285750564
NCSTN PTCD3 RBM38 TRA2A	RBM38	8.460299901905907	5.76177402168942	2.698525880216486	3	4.124316939754763
HIST1H2AB HIST1H3E PFKFB3	HIST1H2AB	11.278245414250485	8.137023391023213	3.1412220232272707	2	6.064839082141188
BCL10 ELAVL1 SLC30A7 SLC48A1	SLC48A1	11.406254532984278	8.640924072970545	2.7653304600137334	3	5.9873520547927885
AGAP2 EIF3I PAK2 PLCG1	EIF3I	10.731418775696985	7.655283185892901	3.0761355898040854	3	5.495476962268796
AP1S3 HLA-DMA HLA-DRA PACS1	PACS1	11.108277268440485	9.33912338563938	1.7691538828011062	3	6.085797558831336
CXCR4 CXCR5 JAK2 STAT3	CXCR4	13.004827375717204	10.25185007715597	2.7529772985612344	4	7.455471700626438
CHEK2 MAPK1 MYB PEBP1	PEBP1	12.487228657694413	8.593706349948786	3.8935223077456276	3	6.948072866987213
GRB2 JAK1 PIK3R2 RAPSN	RAPSN	12.109938536006158	9.562163003498636	2.5477755325075226	3	6.5696115665664045
HIST1H3E HIST1H3F TOP1	TOP1	11.511366302928266	7.758622036015862	3.752744266912404	2	6.519783923694828
LYPLA2 PIH1D1 UBE2L3 VPS11	VPS11	9.581268705733645	5.425560821907554	4.155707883826091	3	4.994155423492945
IL31 JAK1 PDXP PRKACA STK11	PDXP	11.29972333237308	6.32103521690043	4.97868811547265	4	6.307152284765838
